repo,issue_id,issue_total_tokens,issue_body_tokens,issue_comment_tokens,issue_num_sections,issue_num_comments,issue_has_satd,issue_satd_section_ratio,issue_satd_token_ratio,issue_satd_primary_type,issue_sentiment_score,issue_sentiment_variance,issue_priority_score
kokkos,Issue_7448,161,0,0,2,0,1,0.5,0.968944099378882,requirement_debt,1.0,0.0,0.06974469023292929
kokkos,Issue_7446,193,0,50,4,2,0,0.0,0.0,,1.0,0.0,0.06665830431107883
Trilinos,Issue_7444,646,0,553,13,9,0,0.0,0.0,,0.3622291021671827,0.9640272599181438,0.11183929385960323
kokkos,Issue_7443,22,0,0,2,0,0,0.0,0.0,,1.0,0.0,-0.008038622957346652
kokkos,Issue_7442,21,0,0,2,0,0,0.0,0.0,,1.0,0.0,0.1313064409420338
Trilinos,Issue_7435,1799,0,1448,18,14,1,0.1111111111111111,0.18343524180100054,test_debt,-0.048360200111172875,1.034578842362241,0.1162909480910723
kokkos,Issue_7434,625,0,530,8,6,0,0.0,0.0,,0.2032,0.83809024,0.04424293605531819
Trilinos,Issue_7422,535,0,178,11,7,0,0.0,0.0,,0.3233644859813084,0.8105968762654936,0.03880669063365389
kokkos,Issue_7416,221,0,105,8,6,1,0.125,0.45248868778280543,documentation_debt,0.5475113122171946,1.0260129808971974,0.10241750681441866
kokkos,Issue_7415,119,0,58,6,4,1,0.16666666666666666,0.15126050420168066,code/design_debt,-0.025210084033613446,1.0174422710260573,0.06513342581257622
Trilinos,Issue_7413,214,0,135,13,9,0,0.0,0.0,,-0.308411214953271,1.3323568736268534,0.1263657080896294
kokkos,Issue_7412,489,0,411,10,8,1,0.1,0.06952965235173825,code/design_debt,0.6809815950920245,0.6465580187436487,0.07585367962251306
kokkos,Issue_7404,169,0,129,4,2,0,0.0,0.0,,-0.5621301775147929,0.7538601589580196,0.09186406975865095
kokkos,Issue_7403,135,0,2,3,1,0,0.0,0.0,,-0.9111111111111111,2.43753086419753,0.12292872345746483
Trilinos,Issue_7399,412,0,203,10,6,1,0.2,0.45145631067961167,documentation_debt,-0.7378640776699029,1.5444433971156564,0.07347327161371996
Trilinos,Issue_7382,512,0,144,11,7,1,0.09090909090909091,0.556640625,test_debt,-0.5859375,1.4498568448153408,0.0745572343414802
kokkos,Issue_7377,130,0,15,3,1,0,0.0,0.0,,0.8461538461538461,1.151873767258383,0.06116255804235537
Trilinos,Issue_7376,4505,0,3604,31,27,1,0.22580645161290322,0.386015538290788,code/design_debt,0.6772475027746948,0.6284898217746114,0.09255469709587695
kokkos,Issue_7375,334,0,271,9,7,1,0.1111111111111111,0.09281437125748503,test_debt,-0.08383233532934131,1.0256572682977358,0.1217425567665937
kokkos,Issue_7373,433,0,402,14,12,0,0.0,0.0,,0.815242494226328,0.4999881897833243,0.04896634931026682
kokkos,Issue_7363,766,0,665,28,26,1,0.03571428571428571,0.010443864229765013,requirement_debt,-0.2741514360313316,0.9968300281548041,0.10409283928163475
kokkos,Issue_7359,86,0,43,5,3,0,0.0,0.0,,1.0,0.0,0.04784401052269119
Trilinos,Issue_7357,209,0,67,6,2,0,0.0,0.0,,0.569377990430622,0.5650206420793177,0.05751023232750009
Trilinos,Issue_7350,595,0,169,11,7,1,0.2727272727272727,0.5915966386554622,code/design_debt,0.6470588235294118,0.5951557093425606,0.09485044078677309
Trilinos,Issue_7329,220,0,143,9,5,0,0.0,0.0,,0.36363636363636365,0.8898071625344355,0.08373556144590454
kokkos,Issue_7326,278,0,213,8,6,1,0.375,0.2302158273381295,test_debt,0.5755395683453237,0.46793644221313596,0.07245782288925152
kokkos,Issue_7325,136,0,67,4,2,1,0.25,0.4632352941176471,requirement_debt,1.0,0.0,0.05469351932045606
Trilinos,Issue_7319,355,0,96,11,7,1,0.2727272727272727,0.16901408450704225,documentation_debt,1.0,0.0,0.12768346848274456
kokkos,Issue_7317,161,0,105,7,5,0,0.0,0.0,,-0.453416149068323,0.8169437907488138,0.11522791305257966
kokkos,Issue_7316,186,0,57,5,3,0,0.0,0.0,,-0.4731182795698925,1.0345935946352178,0.09754185854453391
kokkos,Issue_7315,80,0,25,4,2,0,0.0,0.0,,-0.375,1.140625,0.15002827956665696
kokkos,Issue_7305,63,0,0,2,0,1,1.0,1.0,documentation_debt,-0.5873015873015873,1.3449231544469642,0.03017713526275302
kokkos,Issue_7302,590,0,540,25,23,0,0.0,0.0,,-0.06779661016949153,0.9991726515369146,0.10073642906279573
kokkos,Issue_7294,175,0,113,5,3,1,0.2,0.3142857142857143,test_debt,-0.17714285714285713,1.1022367346938773,0.05121773689248732
kokkos,Issue_7285,109,0,80,4,2,0,0.0,0.0,,0.6513761467889908,0.7729147378166821,0.0911411648654938
kokkos,Issue_7283,126,0,10,3,1,1,0.3333333333333333,0.07936507936507936,code/design_debt,-0.8412698412698413,1.1468883849836233,0.09023260736538655
kokkos,Issue_7280,63,0,14,3,1,1,0.3333333333333333,0.7301587301587301,code/design_debt,-0.4603174603174603,1.5187704711514236,0.1211637390344643
kokkos,Issue_7278,108,0,14,3,1,0,0.0,0.0,,-0.5740740740740741,1.7122770919067214,0.10752082813651755
kokkos,Issue_7273,60,0,10,3,1,0,0.0,0.0,,-0.6666666666666666,0.9999999999999999,0.13203390716399543
kokkos,Issue_7268,2001,0,1855,30,28,1,0.03333333333333333,0.001999000499750125,code/design_debt,-0.6051974012993503,1.3662638945394863,0.10552738418469278
kokkos,Issue_7263,171,0,143,3,1,1,0.6666666666666666,0.16374269005847952,code/design_debt,-1.0,0.0,0.14659300448943194
kokkos,Issue_7261,1238,0,1126,18,16,1,0.2777777777777778,0.27140549273021003,code/design_debt,0.9886914378029079,0.2198370919796117,0.07778917941937265
